Federal Provider Number,longest_streak
105696,0
105697,0
105700,0
105701,0
105702,0
105703,0
105705,0
105706,0
105707,0
105708,0
105709,0
105710,0
105711,0
105712,0
105713,0
105714,0
105715,0
105717,0
105718,0
105719,0
105720,0
105721,0
105723,0
105724,0
105725,0
105727,0
105728,0
105729,0
105730,0
105731,0
105732,0
105733,0
105734,0
105735,0
105736,0
105737,0
105738,0
105743,0
105744,0
105745,0
105747,0
105749,0
105751,0
105754,0
105755,0
105756,0
105757,0
105761,0
105762,0
105764,0
105765,0
105769,0
105770,0
105774,0
105776,0
105777,0
105779,0
105780,0
105782,0
105783,0
105784,0
105785,0
105786,0
105790,0
105791,0
105792,0
105793,0
105795,0
105796,0
105797,0
105801,0
105802,0
105803,0
105804,0
105805,0
105807,0
105808,0
105809,0
105810,0
105812,0
105813,0
105816,0
105817,0
105819,0
105820,0
105821,0
105822,0
105823,0
105824,0
105825,0
105826,0
105827,0
105828,0
105831,0
105834,0
105835,0
105837,0
105838,0
105839,0
105840,0
105842,0
105843,0
105846,0
105849,0
105851,0
105852,0
105854,0
105855,0
105856,0
105858,0
105859,0
105860,0
105861,0
105862,0
105864,0
105866,0
105868,0
105870,0
105872,0
105875,0
105878,0
105879,0
105881,0
105882,0
105884,0
105885,0
105886,0
105888,0
105891,0
105892,0
105895,0
105901,0
105903,0
105904,0
105910,0
105911,0
105912,0
105915,0
105917,0
105919,0
105921,0
105924,0
105926,0
105927,0
105928,0
105930,0
105935,0
105937,0
105939,0
105949,0
105951,0
105952,0
105955,0
105959,0
105960,0
105961,0
105962,0
105963,0
105965,0
105966,0
105967,0
105968,0
105970,0
105972,0
105974,0
105975,0
105978,0
105979,0
105980,0
105982,0
105983,0
105985,0
105986,0
105987,0
105995,0
105996,0
105998,0
105999,0
106000,0
106002,0
106003,0
106005,0
106006,0
106007,0
106008,0
106009,0
106011,0
106012,0
106013,0
106015,0
106017,0
106018,0
106019,0
106020,0
106021,0
106022,0
106024,0
106025,0
106027,0
106028,0
106029,0
106030,0
106031,0
106032,0
106033,0
106034,0
106035,0
106036,0
106038,0
106040,0
106041,0
106042,0
106043,0
106045,0
106046,0
106047,0
106048,0
106049,0
106050,0
106051,0
106052,0
106053,0
106054,0
106055,0
106056,0
106057,0
106058,0
106059,0
106060,0
106061,0
106062,0
106063,0
106064,0
106065,0
106066,0
106067,0
106068,0
106069,0
106070,0
106072,0
106073,0
106074,0
106075,0
106076,0
106077,0
106079,0
106080,0
106081,0
106083,0
106084,0
106085,0
106086,0
106088,0
106089,0
106090,0
106091,0
106092,0
106093,0
106094,0
106095,0
106096,0
106097,0
106098,0
106099,0
106100,0
106102,0
106103,0
106104,0
106105,0
106106,0
106108,0
106109,0
106110,0
106111,0
106112,0
106113,0
106114,0
106115,0
106116,0
106117,0
106118,0
106119,0
106120,0
106121,0
106122,0
106123,0
106124,0
106125,0
106126,0
106127,0
106128,0
106129,0
106130,0
106131,0
106132,0
106133,0
106134,0
106135,0
106136,0
106137,0
106138,0
106139,0
106140,0
106142,0
106143,0
106144,0
106145,0
106146,0
106147,0
106148,0
115002,0
115004,0
115005,0
115012,0
115020,0
115022,0
115025,0
115039,0
115040,0
115044,0
115045,0
115090,0
115099,0
115104,0
115106,0
115110,0
115115,0
115120,0
115124,0
115129,0
115132,0
115138,0
115144,0
115145,0
115146,0
115147,0
115150,0
115206,0
115246,0
115258,0
115262,0
115264,0
115265,0
115266,0
115270,0
115271,0
115272,0
115273,0
115275,0
115276,0
115277,0
115279,0
115280,0
115283,0
115287,0
115288,0
115289,0
115290,0
115291,0
115293,0
115294,0
115295,0
115296,0
115298,0
115304,0
115308,0
115313,0
115314,0
115319,0
115321,0
115322,0
115324,0
115325,0
115326,0
115327,0
115329,0
115330,0
115334,0
115336,0
115338,0
115339,0
115340,0
115341,0
115343,0
115345,0
115346,0
115347,0
115348,0
115350,0
115351,0
115353,0
115354,0
115356,0
115357,0
115358,0
115360,0
115361,0
115362,0
115363,0
115364,0
115365,0
115368,0
115369,0
115373,0
115374,0
115375,0
115376,0
115377,0
115379,0
115381,0
115382,0
115384,0
115385,0
115387,0
115391,0
115393,0
115394,0
115395,0
115396,0
115397,0
115401,0
115403,0
115404,0
115406,0
115409,0
115410,0
115411,0
115412,0
115414,0
115418,0
115419,0
115421,0
115422,0
115423,0
115424,0
115427,0
115428,0
115429,0
115430,0
115431,0
115435,0
115436,0
115443,0
115447,0
115449,0
115452,0
115455,0
115457,0
115460,0
115461,0
115463,0
115466,0
115467,0
115468,0
115469,0
115471,0
115473,0
115474,0
115477,0
115478,0
115479,0
115480,0
115481,0
115482,0
115483,0
115484,0
115487,0
115488,0
115490,0
115491,0
115492,0
115494,0
115495,0
115496,0
115498,0
115501,0
115502,0
115503,0
115504,0
115505,0
115506,0
115507,0
115508,0
115509,0
115512,0
115513,0
115515,0
115516,0
115520,0
115521,0
115522,0
115523,0
115524,0
115525,0
115528,0
115529,0
115531,0
115532,0
115533,0
115534,0
115535,0
115536,0
115537,0
115538,0
115539,0
115540,0
115541,0
115542,0
115543,0
